Aspect,Drainage_D,Amalner_El,Flow_Accum,Flow_Direc,Plan_,Profile_,Slope_Amal,SLF,Stream_Pow,TRI,TPI,TWI,HSG,SM,ndmi,Soil_Textu,pres_seaso,IBI,Building_D,NDISI,SAVi,AWEI,Land_Cover,Geo_,Critical_I,Road_Buffe,Feature_La,Distance_F,Population,X,Y,Target
0.192076,458.803009,125,0,32,0,0,1.52712,0,0,0,-0.119047,6.1503401,4,632.5833333,-0.13482,1,220,0.127762134,27191000,0.150387,0.075905019,-8.76375E-05,3,6,0,1,3,2943.090088,5800.172001,21.0420994,75.0546801,1
269.9639893,456.9460144,125,0,16,0,-0.64,2.2901499,0,0.399912,1.7320499,-1.13591,12.0193996,4,632.5833333,-0.139421,1,220,0.127762134,27191000,0.150387,0.095073133,-0.0001022,2,6,0,1,3,2902.590088,5800.172001,21.0420034,75.0546206,1
314.9909973,475.07901,125,0,64,-0.8,0.48,2.15591,0,1.50579,2.2360699,0.226266,6.0380301,4,660,-0.161526,1,217.6666667,0.131273475,25971200,0.174568,0.114398241,-7.03438E-05,3,6,0,1,3,2983.77002,2717.833314,21.0414483,75.0545329,1
251.6179962,496.4880066,125,2,16,-0.64,0.64,2.41153,0.392944,0.842266,2.2360699,0.694961,6.7917199,4,660,-0.155578,1,217.6666667,0.125534992,21122000,0.196972,0.130358942,-8.23175E-05,3,6,0,1,3,2480.120117,2717.833314,21.041053,75.0544824,1
314.9909973,475.07901,125,4,64,-0.8,0.48,2.15591,0.448245,1.50579,2.2360699,0.146008,7.41471,4,660,-0.161526,1,217.6666667,0.12510709,23194500,0.166884,0.114398241,-7.03438E-05,3,6,0,1,3,2965.280029,2717.833314,21.041447,75.0544771,1
314.9909973,475.07901,125,0,64,-0.8,0.48,2.15591,0,1.50579,2.2360699,0.226266,6.0380301,4,660,-0.161526,1,217.6666667,0.131273475,25971200,0.174568,0.114398241,-7.03438E-05,3,6,0,1,3,2983.77002,2717.833314,21.0414483,75.0545329,1
251.6179962,496.4880066,125,2,16,-0.64,0.64,2.41153,0.392944,0.842266,2.2360699,0.694961,6.7917199,4,660,-0.155578,1,217.6666667,0.125534992,21122000,0.196972,0.130358942,-8.23175E-05,3,6,0,1,3,2480.120117,2717.833314,21.041053,75.0544824,1
225.0619965,496.4880066,126,0,16,0.48,-0.8,2.16503,0,0,1.41421,0.143746,6.4928398,4,660,-0.155578,1,217.6666667,0.125281498,21122000,0.179585,0.130358942,-8.23175E-05,3,6,0,1,23,2759.860107,2717.833314,21.0410727,75.0545182,1
314.6119995,10,125,5,64,0,0,1.0779001,0.199074,0.940744,1,-0.771782,8.2905798,4,660,-0.116979,1,217.6666667,0.127913383,51078000,0.149815,0.070387829,-0.000092915,2,6,0,1,3,2986.26001,8147.255616,21.0361476,75.0580497,1
314.6119995,10,125,5,64,0,0,1.0779001,0.199074,0.940744,1,-0.771782,8.2905798,4,660,-0.116979,1,217.6666667,0.127913383,51078000,0.149815,0.070387829,-0.000092915,2,6,0,1,3,2986.26001,8147.255616,21.0361471,75.0580494,1
270.0490112,14.1421003,125,83866,64,0,0.64,2.2988,0.0085238,10.4371004,0,-0.700661,23.2528,4,660,-0.0756244,1,217.6666667,0.127679666,44646600,0.130304,0.065305442,-0.000104715,2,6,42743.39844,1,3,2867.419922,10923.40225,21.0371169,75.0582225,1
314.6119995,10,125,5,64,0,0,1.0779001,0.199074,0.940744,1,-0.771782,8.2905798,4,660,-0.116979,1,217.6666667,0.127913383,51078000,0.149815,0.070387829,-0.000092915,2,6,0,1,3,2986.26001,8147.255616,21.0361589,75.0580311,1
225.2039948,70.710701,127,0,16,0.48,-0.8,2.1619599,0,0,1.7320499,0.609375,5.8024702,4,660,-0.156056,1,217.6666667,0.118332064,61649600,0.157686,0.254227153,-0.000107054,3,6,0,1,3,3747.850098,8147.255616,21.0356439,75.0591069,1
100.8290024,98.9949036,127,0,64,0,0,0.0113271,0,0,0,-0.990648,11.0544996,4,660,-0.114528,1,217.6666667,0.124281872,66427500,0.161301,0.153795974,-0.000105603,3,6,1495.540039,1,3,3447.090088,8147.255616,21.0360072,75.0591069,1
89.9421997,134.5359955,127,1,64,0,0.64,2.29265,0.278866,0.400351,1.7320499,0.893648,6.4368601,4,660,-0.0983021,1,217.6666667,0.12577049,90430096,0.163986,0.10654609,-0.000104153,4,6,0,1,3,3818.310059,30926.52256,21.0357,75.059857,1
95.2678986,10,125,35950,32,0,0,0.0082649,0.0123537,51.8571014,0,-0.117758,21.8596001,4,660,-0.129275,1,217.6666667,0.126860868,49943700,0.150331,0.081899013,-8.55625E-05,2,6,0,1,3,3675.149902,8147.255616,21.0350285,75.0587643,1
243.6199951,56.5685005,127,0,16,0,-0.64,1.71759,0,0,0,-0.781021,6.0327401,4,660,-0.106238,1,217.6666667,0.128482373,70667800,0.140265,0.081818182,-0.000105615,2,6,0,1,3,3847.659912,30926.52256,21.0352715,75.0593161,1
225.0690002,78.1025009,127,2,2,0,0,1.08877,0.139797,0.380091,1,-0.7475,7.5874,4,660,-0.112789,1,217.6666667,0.124026995,71095000,0.150009,0.056810162,-0.00009971,2,6,0,1,3,4082.100098,8147.255616,21.0354654,75.0593951,1
243.6199951,56.5685005,127,0,16,0,-0.64,1.71759,0,0,0,0.0137026,5.5601201,4,660,-0.106238,1,217.6666667,0.128482373,70667800,0.140265,0.084266118,-0.000109088,3,6,0,1,3,3847.659912,30926.52256,21.0352417,75.0593345,1
100.8290024,98.9949036,127,0,64,0,0,0.0113271,0,0,0,-0.990648,11.0544996,4,660,-0.114528,1,217.6666667,0.124281872,66427500,0.161301,0.153795974,-0.000105603,3,6,1495.540039,1,3,3447.090088,8147.255616,21.0360072,75.0591069,1
264.3720093,14.1421003,125,31,64,0,0,0.0075367,0.0006516,0.0407768,0,0.0013345,14.9277,4,660,-0.110499,1,217.6666667,0.126860868,49943700,0.150331,0.069188821,-9.75838E-05,2,6,0,1,3,3675.149902,8147.255616,21.0349101,75.0587578,1
-1,106.3010025,127,0,8,0,0,0.0053538,0,0,0,-0.67912,10.8532,4,660,-0.114528,1,217.6666667,0.124403566,70173904,0.151961,0.066740502,-9.31888E-05,2,6,1495.540039,1,3,3789.139893,8147.255616,21.0359942,75.0592066,1
116.5579987,84.8527985,127,0,4,0,0.64,1.71394,0,0,1.41421,0.12579,6.0348601,4,660,-0.208807,1,217.6666667,0.122590988,66427500,0.172366,0.268288943,-9.57225E-05,4,6,604.9470215,1,3,3603.479981,8147.255616,21.03593,75.0589767,1
-1,106.3010025,127,0,64,0,0,0.001951,0,0,0,-0.990648,11.0544996,4,660,-0.114528,1,217.6666667,0.124403566,70173904,0.151961,0.066740502,-9.31888E-05,2,6,1495.540039,1,3,3685.320068,8147.255616,21.0360279,75.059208,1
-1,10,125,7,16,0,0,0.0113686,0.0006131,0.0138891,0,-0.473391,13.1302996,4,660,-0.112273,1,217.6666667,0.122742941,50784100,0.144037,0.0964323,-8.78325E-05,2,6,0,1,3,3733.689941,8147.255616,21.0351427,75.0587565,1
243.522995,92.1953964,127,1,4,0,0.64,1.7211699,0.192128,0.300486,1.41421,-0.0957265,6.7238002,4,660,-0.127693,1,217.6666667,0.124026995,71846200,0.150009,0.071658771,-9.01575E-05,3,6,0,1,3,3963.870117,8147.255616,21.0356032,75.0593694,1
-1,98.9949036,127,0,4,0,0,0.0138532,0,0,0,-0.67912,10.8532,4,660,-0.114528,1,217.6666667,0.124403566,70173904,0.151961,0.1445978,-0.000107197,3,6,1495.540039,1,3,3789.139893,8147.255616,21.0359652,75.0591552,1
206.3890076,0,125,36185,32,0,0.64,1.70873,12.6738997,10794.5,1.41421,0.161978,16.5342999,4,660,-0.033783,1,217.6666667,0.12908865,53946300,0.138402,0.049223957,-8.81375E-05,2,6,0,1,3,3446.310059,8147.255616,21.0355807,75.0581594,1
206.3890076,0,125,36185,32,0,0.64,1.70873,12.6738997,10794.5,1.41421,0.161978,16.5342999,4,660,-0.033783,1,217.6666667,0.12908865,53946300,0.138402,0.049223957,-8.81375E-05,2,6,0,1,3,3446.310059,8147.255616,21.0355807,75.0581594,1
-1,98.9949036,127,0,4,0,0,0.0138532,0,0,0,-0.67912,10.8532,4,660,-0.114528,1,217.6666667,0.124281872,66427500,0.161301,0.1445978,-0.000107197,3,6,1495.540039,1,3,3789.139893,8147.255616,21.0359608,75.0591287,1
18.3614998,50,127,0,64,0.64,-0.64,2.40749,0,0,2,-0.217157,5.6947799,4,660,-0.149439,1,217.6666667,0.127911172,52625400,0.165119,0.200013416,-0.00010074,3,6,0,1,3,3568.570068,8147.255616,21.0356645,75.0575226,1
179.8309937,219.3170013,127,0,4,0,-0.64,2.2913401,0,0,1.7320499,0.746855,5.7442899,4,660,-0.0999821,1,217.6666667,0.127829231,87749600,0.153243,0.083389602,-0.000093655,2,6,4198.459961,1,3,4872.379883,30926.52256,21.0368971,75.0609321,1
18.3614998,50,127,0,64,0.64,-0.64,2.40749,0,0,2,-0.217157,5.6947799,4,660,-0.149439,1,217.6666667,0.127911172,52625400,0.165119,0.200013416,-0.00010074,3,6,0,1,3,3568.570068,8147.255616,21.0356645,75.0575226,1
315.322998,64.0311966,126,12,32,0,0,1.08665,0.285537,2.2761199,0,0.0989004,9.0556803,4,660,-0.144797,1,217.6666667,0.124108704,23245400,0.152928,0.114763711,-0.000103219,2,6,0,1,3,2025.890015,8147.255616,21.0322629,75.0520958,1
206.3890076,0,125,36185,32,0,0.64,1.70873,12.6738997,10794.5,1.41421,0.161978,16.5342999,4,660,-0.033783,1,217.6666667,0.12908865,53946300,0.138402,0.049223957,-8.81375E-05,2,6,0,1,3,3446.310059,8147.255616,21.0355775,75.0581578,1
33.5485992,31.6228008,126,1,64,0,-0.64,2.7508199,0.435111,0,1.7320499,0.604494,6.0938601,4,660,-0.147766,1,217.6666667,0.128385004,52774600,0.143044,0.160318256,-8.62025E-05,3,6,0,1,3,3371.840088,8147.255616,21.0356528,75.0577153,1
0.119107,90,126,2,64,0,0.64,2.28878,0.555435,1.19902,1.7320499,0.721994,6.5248699,4,660,-0.157584,1,217.6666667,0.128287105,49478400,0.147304,0.106619147,-8.71375E-05,2,6,0,1,3,3680.429932,8147.255616,21.0358067,75.0571167,1
18.3614998,50,127,0,64,0.64,-0.64,2.40749,0,0,2,-0.217157,5.6947799,4,660,-0.149439,1,217.6666667,0.127911172,52625400,0.165119,0.200013416,-0.00010074,3,6,0,1,3,3568.570068,8147.255616,21.0356645,75.0575226,1
89.9923019,100,126,2,1,0,0,3.0490301,0.36805,0.53265,2,0.525123,6.8421502,4,660,-0.149171,1,217.6666667,0.126398718,36264900,0.150582,0.134766355,-0.00010471,3,6,0,1,3,3184.75,10923.40225,21.0364069,75.0570174,1
-1,30,125,14,1,0,0,0.0098829,0.0006744,0.0241481,0,0.0054659,13.8990002,4,660,-0.0893652,1,217.6666667,0.123839639,32098200,0.142847,0.074728695,-0.00009386,2,6,0,1,3,2974.199951,8147.255616,21.0329754,75.0540897,1
265.9379883,14.1421003,125,18,1,0,0,0.0079621,0.0005631,0.0250134,0,-0.42532,14.3514996,4,660,-0.0851927,1,217.6666667,0.125516724,27491800,0.138686,0.063449982,-0.000100738,2,6,0,1,3,2841.729981,8147.255616,21.0328909,75.0544555,1
180.0390015,40,125,8,4,-1.28,0.64,2.2883101,0.639088,3.1967299,2.64575,0.642756,7.9428301,4,660,-0.14996,1,217.6666667,0.119677841,32567800,0.149536,0.2079568,-0.000104938,3,6,0,1,3,3988.120117,8147.255616,21.0336064,75.054317,1
-1,36.0555,125,0,1,0,0,0.0033692,0,0.000588,0,-0.0701057,6.0362201,4,660,-0.160519,1,217.6666667,0.125516724,23908700,0.138686,0.146381943,-9.52213E-05,3,6,0,1,3,2827.969971,8147.255616,21.032715,75.0543626,1
243.4450073,0,125,42596,2,0,0.64,1.70813,13.5221996,12702.5,1.41421,0.458656,16.6977997,4,660,-0.17339,1,217.6666667,0.130053687,31825600,0.143392,0.127709256,-9.28525E-05,2,6,0,1,3,3139.080078,8147.255616,21.0330858,75.054471,1
-1,120,125,4,1,0,0,0.00265,0.0000738,0.00185,0,-0.765536,14.1166,4,660,-0.149389,1,217.6666667,0.117292374,37546400,0.142757,0.178128648,-0.000113363,3,6,0,1,3,4081.850098,8147.255616,21.0340306,75.0552723,1
243.4450073,0,125,42596,2,0,0.64,1.70813,13.5221996,12702.5,1.7320499,0.458656,16.6977997,4,660,-0.17339,1,217.6666667,0.130053687,31825600,0.143392,0.127709256,-9.28525E-05,2,6,0,1,3,3139.080078,8147.255616,21.0331105,75.0544901,1
243.4450073,0,125,42596,2,0,0.64,1.70813,13.5221996,12702.5,1.7320499,0.458656,16.6977997,4,660,-0.17339,1,217.6666667,0.130053687,31825600,0.143392,0.127709256,-9.28525E-05,2,6,0,1,3,3139.080078,8147.255616,21.0331266,75.0545057,1
-1,120,125,4,1,0,0,0.00265,0.0000738,0.00185,0,-0.765536,14.1166,4,660,-0.149389,1,217.6666667,0.117292374,37546400,0.142757,0.178128648,-0.000113363,3,6,0,1,3,4081.850098,8147.255616,21.0340306,75.0552723,1
243.4450073,0,125,0,2,0,0.64,1.70813,0,12702.5,1.7320499,0.288777,5.80094,4,660,-0.17339,1,217.6666667,0.121365385,30785900,0.150769,0.127709256,-9.28525E-05,2,6,0,1,3,3139.080078,8147.255616,21.0331178,75.0545213,1
243.4450073,0,125,0,2,0,0.64,1.70813,0,12702.5,1.41421,0.288777,5.80094,4,660,-0.17339,1,217.6666667,0.121365385,30785900,0.150769,0.127709256,-9.28525E-05,2,6,0,1,3,3287.209961,8147.255616,21.0330908,75.0545351,1
243.4450073,0,125,0,2,0,0.64,1.70813,0,12702.5,1.41421,0.288777,5.80094,4,660,-0.17339,1,217.6666667,0.121365385,31825600,0.150769,0.127709256,-9.28525E-05,2,6,0,1,3,3139.080078,8147.255616,21.0330853,75.0545173,1
243.6000061,28.2842999,126,0,16,0,0.64,1.72024,0,0.300324,1.41421,0.285605,5.8015499,4,660,-0.1061,1,217.6666667,0.131742746,30559700,0.153006,0.08012844,-9.42675E-05,2,6,0,1,3,3464.98999,8147.255616,21.0333113,75.0547249,1
